Path	Symbol	Reason
Users/Shared/software/spm12/external/fieldtrip/inverse/dipole_fit.m	fminunc	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/inverse/ft_sloreta.m	kurtosis	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/inverse/private/ft_scalingfactor.m	newunit	undeployable
Users/Shared/software/spm12/external/fieldtrip/inverse/private/rotate.m	syms	undeployable
Users/Shared/software/spm12/external/fieldtrip/plotting/ft_plot_cloud.m	range	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/plotting/ft_plot_slice.m	range	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/plotting/ft_plot_slice.m	nanmin	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/plotting/ft_plot_slice.m	nanmax	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/plotting/private/ft_scalingfactor.m	newunit	undeployable
Users/Shared/software/spm12/external/fieldtrip/plotting/private/rotate.m	syms	undeployable
Users/Shared/software/spm12/external/fieldtrip/preproc/ft_preproc_rereference.m	nanmedian	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/binomialprob.m	binocdf	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/bsscca.m	cellcat	undeployable
Users/Shared/software/spm12/external/fieldtrip/private/determine_griddim.m	nanmedian	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/ft_singletrialanalysis_aseo.m	nanmedian	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/pos2dim.m	zscore	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/rejectvisual_summary.m	nanmin	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/rejectvisual_summary.m	kurtosis	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/rejectvisual_summary.m	nanmax	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/resampledesign.m	randsample	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/private/rotate.m	syms	undeployable
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_correlationT.m	corr	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_depsamplesFmultivariate.m	finv	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_depsamplesFmultivariate.m	fcdf	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_depsamplesFunivariate.m	finv	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_depsamplesFunivariate.m	fcdf	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_indepsamplesF.m	finv	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_indepsamplesF.m	fcdf	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_indepsamplesZcoh.m	norminv	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/statfun/ft_statfun_indepsamplesZcoh.m	normcdf	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/ft_datatype_spike.m	nanmin	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/ft_datatype_spike.m	nanmax	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/ft_determine_coordsys.m	range	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/ft_scalingfactor.m	newunit	undeployable
Users/Shared/software/spm12/external/fieldtrip/utilities/ft_warp_optim.m	fminunc	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/private/pos2dim.m	zscore	mcc_flag
Users/Shared/software/spm12/external/fieldtrip/utilities/private/rotate.m	syms	undeployable
Users/Shared/software/spm12/matlabbatch/@cfg_entry/subsasgn_check.m	subs	undeployable
Users/Shared/software/spm12/spm_dcm_fmri_csd_DEM.m	corr	mcc_flag
Users/Shared/software/spm12/spm_eeg_cfc.m	ttest	mcc_flag
Users/Shared/software/spm12/tests/DEMO_DCM_PEB_FIT.m	corr	mcc_flag
Users/Shared/software/spm12/tests/DEMO_DCM_PEB_REC.m	corr	mcc_flag
Users/Shared/software/spm12/tests/test_checkcode.m	analyzeCodeCompatibility	undeployable
Users/Shared/software/spm12/toolbox/DAiSS/bf_output_image_cfGLM.m	ttest	mcc_flag
Users/Shared/software/spm12/toolbox/DAiSS/private/GALA_clustering.m	squareform	mcc_flag
Users/Shared/software/spm12/toolbox/DAiSS/private/GALA_clustering.m	linkage	mcc_flag
Users/Shared/software/spm12/toolbox/DAiSS/private/GALA_clustering.m	cluster	mcc_flag
Users/Shared/software/spm12/toolbox/DAiSS/private/GALA_invert.m	quantile	mcc_flag
Users/Shared/software/spm12/toolbox/DAiSS/private/get_data_features.m	regress	mcc_flag
Users/Shared/software/spm12/toolbox/DEM/DEMO_DCM_PEB_FIT.m	corr	mcc_flag
Users/Shared/software/spm12/toolbox/DEM/DEMO_DCM_PEB_REC.m	corr	mcc_flag
Users/Shared/software/spm12/toolbox/DEM/DEM_demo_MDP_rule.m	corr	mcc_flag
Users/Shared/software/spm12/toolbox/DEM/spm_MDP_VB_LFP.m	corr	mcc_flag
Users/Shared/software/spm12/toolbox/MEEGtools/spm_eeg_megheadloc.m	pdist	mcc_flag
Users/Shared/software/spm12/toolbox/dcm_meeg/spm_fx_cmc_tfm.m	syms	undeployable
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	normcdf	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	chi2cdf	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	skewness	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	kstest	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	norminv	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_mvntest.m	kurtosis	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_post.m	quantile	mcc_flag
Users/Shared/software/spm12/toolbox/mci/inference/spm_mci_quantiles.m	quantile	mcc_flag
Users/Shared/software/spm12/toolbox/mci/plotting/mci_plot_dist.m	boxplot	mcc_flag
Users/Shared/software/spm12/toolbox/mci/plotting/mci_plot_dist.m	ksdensity	mcc_flag
Users/Shared/software/spm12/toolbox/mixture/spm_mix_plot1d.m	ksdensity	mcc_flag
Users/Shared/software/spm12/toolbox/spectral/spm_mar_conn.m	chi2cdf	mcc_flag
